HCPCS,LCD,Description
L0492,Spinal Orthoses: TLSO and LSO,"TLSO, SAGITTAL-CORONAL CONTROL, MODULAR SEGMENTED SPINAL SYSTEM, THREE RIGID PLASTIC SHELLS, POSTERIOR EXTENDS FROM THE SACROCOCCYGEAL JUNCTION AND TERMINATES JUST INFERIOR TO THE SCAPULAR SPINE, ANTERIOR EXTENDS FROM THE SYMPHYSIS PUBIS TO THE XIPHOID, SOFT LINER, RESTRICTS GROSS TRUNK MOTION IN THE SAGITTAL AND CORONAL PLANES, LATERAL STRENGTH IS PROVIDED BY OVERLAPPING PLASTIC AND STABILIZING CLOSURES, INCLUDES STRAPS AND CLOSURES, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0625,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, FLEXIBLE, PROVIDES LUMBAR SUPPORT, POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PENDULOUS ABDOMEN DESIGN, SHOULDER STRAPS, STAYS, PREFABRICATED, OFF-THE-SHELF"
L0626,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID POSTERIOR PANEL(S), POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0627,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0628,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, FLEXIBLE, PROVIDES LUMBO-SACRAL SUPPORT, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0629,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, FLEXIBLE, PROVIDES LUMBO-SACRAL SUPPORT, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0630,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID POSTERIOR PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0631,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0632,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0633,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID POSTERIOR FRAME/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0634,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID POSTERIOR FRAME/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANEL(S), PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0635,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, LUMBAR FLEXION, RIGID POSTERIOR FRAME/PANEL(S), LATERAL ARTICULATING DESIGN TO FLEX THE LUMBAR SPINE, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANEL(S), PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, ANTERIOR PANEL, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L0636,Spinal Orthoses: TLSO and LSO,"LUMBAR SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, LUMBAR FLEXION, RIGID POSTERIOR FRAME/PANELS, LATERAL ARTICULATING DESIGN TO FLEX THE LUMBAR SPINE, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, ANTERIOR PANEL, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0637,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR FRAME/PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0638,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR FRAME/PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0639,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, RIGID SHELL(S)/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO XYPHOID, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, OVERALL STRENGTH IS PROVIDED BY OVERLAPPING RIGID MATERIAL AND STABILIZING CLOSURES, INCLUDES STRAPS, CLOSURES, MAY INCLUDE SOFT INTERFACE, PENDULOUS ABDOMEN DESIGN, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L0640,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, RIGID SHELL(S)/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO XYPHOID, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, OVERALL STRENGTH IS PROVIDED BY OVERLAPPING RIGID MATERIAL AND STABILIZING CLOSURES, INCLUDES STRAPS, CLOSURES, MAY INCLUDE SOFT INTERFACE, PENDULOUS ABDOMEN DESIGN, CUSTOM FABRICATED"
L0641,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID POSTERIOR PANEL(S), POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0642,Spinal Orthoses: TLSO and LSO,"LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM L-1 TO BELOW L-5 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0643,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID POSTERIOR PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0648,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR PANELS, POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0649,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID POSTERIOR FRAME/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANELS, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, STAYS, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0650,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID ANTERIOR AND POSTERIOR FRAME/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, LATERAL STRENGTH PROVIDED BY RIGID LATERAL FRAME/PANEL(S), PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON INTERVERTEBRAL DISCS, INCLUDES STRAPS, CLOSURES, MAY INCLUDE PADDING, SHOULDER STRAPS, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L0651,Spinal Orthoses: TLSO and LSO,"LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, RIGID SHELL(S)/PANEL(S), POSTERIOR EXTENDS FROM SACROCOCCYGEAL JUNCTION TO T-9 VERTEBRA, ANTERIOR EXTENDS FROM SYMPHYSIS PUBIS TO XYPHOID, PRODUCES INTRACAVITARY PRESSURE TO REDUCE LOAD ON THE INTERVERTEBRAL DISCS, OVERALL STRENGTH IS PROVIDED BY OVERLAPPING RIGID MATERIAL AND STABILIZING CLOSURES, INCLUDES STRAPS, CLOSURES, MAY INCLUDE SOFT INTERFACE, PENDULOUS ABDOMEN DESIGN, PREFABRICATED, OFF-THE-SHELF"
L1832,Knee Orthoses,"KNEE ORTHOSIS, ADJUSTABLE KNEE JOINTS (UNICENTRIC OR POLYCENTRIC), POSITIONAL ORTHOSIS, RIGID SUPPORT, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L1833,Knee Orthoses,"KNEE ORTHOSIS, ADJUSTABLE KNEE JOINTS (UNICENTRIC OR POLYCENTRIC), POSITIONAL ORTHOSIS, RIGID SUPPORT, PREFABRICATED, OFF-THE SHELF"
L1843,Knee Orthoses,"KNEE ORTHOSIS, SINGLE UPRIGHT, THIGH AND CALF, WITH ADJUSTABLE FLEXION AND EXTENSION JOINT (UNICENTRIC OR POLYCENTRIC), MEDIAL-LATERAL AND ROTATION CONTROL, WITH OR WITHOUT VARUS/VALGUS ADJUSTMENT, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L1845,Knee Orthoses,"KNEE ORTHOSIS, DOUBLE UPRIGHT, THIGH AND CALF, WITH ADJUSTABLE FLEXION AND EXTENSION JOINT (UNICENTRIC OR POLYCENTRIC), MEDIAL-LATERAL AND ROTATION CONTROL, WITH OR WITHOUT VARUS/VALGUS ADJUSTMENT, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L1851,Knee Orthoses,"KNEE ORTHOSIS (KO), SINGLE UPRIGHT, THIGH AND CALF, WITH ADJUSTABLE FLEXION AND EXTENSION JOINT (UNICENTRIC OR POLYCENTRIC), MEDIAL-LATERAL AND ROTATION CONTROL, WITH OR WITHOUT VARUS/VALGUS ADJUSTMENT, PREFABRICATED, OFF-THE-SHELF"
L1852,Knee Orthoses,"KNEE ORTHOSIS (KO), DOUBLE UPRIGHT, THIGH AND CALF, WITH ADJUSTABLE FLEXION AND EXTENSION JOINT (UNICENTRIC OR POLYCENTRIC), MEDIAL-LATERAL AND ROTATION CONTROL, WITH OR WITHOUT VARUS/VALGUS ADJUSTMENT, PREFABRICATED, OFF-THE-SHELF"
L1906,Ankle-Foot /Knee-Ankle-Foot Orthosis,"ANKLE FOOT ORTHOSIS, MULTILIGAMENTOUS ANKLE SUPPORT, PREFABRICATED, OFF-THE-SHELF"
L1951,Ankle-Foot /Knee-Ankle-Foot Orthosis,"ANKLE FOOT ORTHOSIS, SPIRAL, (INSTITUTE OF REHABILITATIVE MEDICINE TYPE), PLASTIC OR OTHER MATERIAL, PREFABRICATED ITEM THAT HAS BEEN TRIMMED, BENT, MOLDED, ASSEMBLED, OR OTHERWISE CUSTOMIZED TO FIT A SPECIFIC PATIENT BY AN INDIVIDUAL WITH EXPERTISE"
L2006,Ankle-Foot /Knee-Ankle-Foot Orthosis,"KNEE ANKLE FOOT DEVICE, ANY MATERIAL, SINGLE OR DOUBLE UPRIGHT, SWING AND STANCE PHASE MICROPROCESSOR CONTROL WITH ADJUSTABILITY, INCLUDES ALL COMPONENTS (E.G., SENSORS, BATTERIES, CHARGER), ANY TYPE ACTIVATION, WITH OR WITHOUT ANKLE JOINT(S), CUSTOM FABRICATED"
L3960,Upper Limb Orthoses,"SHOULDER ELBOW WRIST HAND ORTHOSIS, ABDUCTION POSITIONING, AIRPLANE DESIGN, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"
L5856,Lower Limb Prostheses,"ADDITION TO LOWER EXTREMITY PROSTHESIS, ENDOSKELETAL KNEE-SHIN SYSTEM, MICROPROCESSOR CONTROL FEATURE, SWING AND STANCE PHASE, INCLUDES ELECTRONIC SENSOR(S), ANY TYPE"
L5857,Lower Limb Prostheses,"ADDITION TO LOWER EXTREMITY PROSTHESIS, ENDOSKELETAL KNEE-SHIN SYSTEM, MICROPROCESSOR CONTROL FEATURE, SWING PHASE ONLY, INCLUDES ELECTRONIC SENSOR(S), ANY TYPE"
L5858,Lower Limb Prostheses,"ADDITION TO LOWER EXTREMITY PROSTHESIS, ENDOSKELETAL KNEE SHIN SYSTEM, MICROPROCESSOR CONTROL FEATURE, STANCE PHASE ONLY, INCLUDES ELECTRONIC SENSOR(S), ANY TYPE"
L5969,Lower Limb Prostheses,"ADDITION, ENDOSKELETAL ANKLE-FOOT OR ANKLE SYSTEM, POWER ASSIST, INCLUDES ANY TYPE MOTOR(S)"
L5973,Lower Limb Prostheses,"ENDOSKELETAL ANKLE FOOT SYSTEM, MICROPROCESSOR CONTROLLED FEATURE, DORSIFLEXION AND/OR PLANTAR FLEXION CONTROL, INCLUDES POWER SOURCE"
L5980,Lower Limb Prostheses,"ALL LOWER EXTREMITY PROSTHESES, FLEX FOOT SYSTEM"
L5987,Lower Limb Prostheses,"ALL LOWER EXTREMITY PROSTHESIS, SHANK FOOT SYSTEM WITH VERTICAL LOADING PYLON"
L6715,Upper Limb Prostheses,"TERMINAL DEVICE, MULTIPLE ARTICULATING DIGIT, INCLUDES MOTOR(S), INITIAL ISSUE OR REPLACEMENT"
L6880,Upper Limb Prostheses,"ELECTRIC HAND, SWITCH OR MYOELECTRIC CONTROLLED, INDEPENDENTLY ARTICULATING DIGITS, ANY GRASP PATTERN OR COMBINATION OF GRASP PATTERNS, INCLUDES MOTOR(S)"
L8701,Powered Orthoses,"POWERED UPPER EXTREMITY RANGE OF MOTION ASSIST DEVICE, ELBOW, WRIST, HAND WITH SINGLE OR DOUBLE UPRIGHT(S), INCLUDES MICROPROCESSOR, SENSORS, ALL COMPONENTS AND ACCESSORIES, CUSTOM FABRICATED"
L8702,Powered Orthoses,"POWERED UPPER EXTREMITY RANGE OF MOTION ASSIST DEVICE, ELBOW, WRIST, HAND, FINGER, SINGLE OR DOUBLE UPRIGHT(S), INCLUDES MICROPROCESSOR, SENSORS, ALL COMPONENTS AND ACCESSORIES, CUSTOM FABRICATED"
